target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
ILI incidence,BE,2026-02-25,2026-03-15,0.025,4,quantile,123.542985230349
ILI incidence,BE,2026-02-25,2026-03-15,0.05,4,quantile,145.923348002528
ILI incidence,BE,2026-02-25,2026-03-15,0.1,4,quantile,168.910222588492
ILI incidence,BE,2026-02-25,2026-03-15,0.15,4,quantile,193.020810782369
ILI incidence,BE,2026-02-25,2026-03-15,0.2,4,quantile,217.274267999412
ILI incidence,BE,2026-02-25,2026-03-15,0.25,4,quantile,231.123047993969
ILI incidence,BE,2026-02-25,2026-03-15,0.3,4,quantile,249.048720501908
ILI incidence,BE,2026-02-25,2026-03-15,0.35,4,quantile,262.117882685123
ILI incidence,BE,2026-02-25,2026-03-15,0.4,4,quantile,275.782580769378
ILI incidence,BE,2026-02-25,2026-03-15,0.45,4,quantile,291.83023334931
ILI incidence,BE,2026-02-25,2026-03-15,0.5,4,quantile,306.979665429115
ILI incidence,BE,2026-02-25,2026-03-15,0.55,4,quantile,331.995990263919
ILI incidence,BE,2026-02-25,2026-03-15,0.6,4,quantile,347.337475780952
ILI incidence,BE,2026-02-25,2026-03-15,0.65,4,quantile,364.448000956672
ILI incidence,BE,2026-02-25,2026-03-15,0.7,4,quantile,385.174548795628
ILI incidence,BE,2026-02-25,2026-03-15,0.75,4,quantile,409.653339256716
ILI incidence,BE,2026-02-25,2026-03-15,0.8,4,quantile,440.635499039314
ILI incidence,BE,2026-02-25,2026-03-15,0.85,4,quantile,470.33498108339
ILI incidence,BE,2026-02-25,2026-03-15,0.9,4,quantile,537.220301993455
ILI incidence,BE,2026-02-25,2026-03-15,0.95,4,quantile,617.944484116569
ILI incidence,BE,2026-02-25,2026-03-15,0.975,4,quantile,703.402812556796
ILI incidence,BE,2026-02-25,2026-03-15,0.99,4,quantile,872.202018848476
ILI incidence,BE,2026-02-25,2026-02-22,,1,median,393.021287869582
ILI incidence,BE,2026-02-25,2026-03-01,,2,median,359.581202710746
ILI incidence,BE,2026-02-25,2026-03-08,,3,median,331.40734910929
ILI incidence,BE,2026-02-25,2026-03-15,,4,median,306.979665429115
ILI incidence,CH,2026-02-25,2026-02-22,0.01,1,quantile,49.7732221162549
ILI incidence,CH,2026-02-25,2026-02-22,0.025,1,quantile,55.5138467175138
ILI incidence,CH,2026-02-25,2026-02-22,0.05,1,quantile,62.0167942855881
ILI incidence,CH,2026-02-25,2026-02-22,0.1,1,quantile,69.766810232456
ILI incidence,CH,2026-02-25,2026-02-22,0.15,1,quantile,76.7596299365043
ILI incidence,CH,2026-02-25,2026-02-22,0.2,1,quantile,82.9312107589784
ILI incidence,CH,2026-02-25,2026-02-22,0.25,1,quantile,87.591357658539
ILI incidence,CH,2026-02-25,2026-02-22,0.3,1,quantile,91.2773172044418
ILI incidence,CH,2026-02-25,2026-02-22,0.35,1,quantile,94.6785653133828
ILI incidence,CH,2026-02-25,2026-02-22,0.4,1,quantile,98.6246202765876
ILI incidence,CH,2026-02-25,2026-02-22,0.45,1,quantile,101.827910226381
ILI incidence,CH,2026-02-25,2026-02-22,0.5,1,quantile,106.736820422832
ILI incidence,CH,2026-02-25,2026-02-22,0.55,1,quantile,110.46990828245
ILI incidence,CH,2026-02-25,2026-02-22,0.6,1,quantile,113.978652010766
ILI incidence,CH,2026-02-25,2026-02-22,0.65,1,quantile,118.842342455863
ILI incidence,CH,2026-02-25,2026-02-22,0.7,1,quantile,124.304367809116
ILI incidence,CH,2026-02-25,2026-02-22,0.75,1,quantile,128.026918238498
ILI incidence,CH,2026-02-25,2026-02-22,0.8,1,quantile,133.679564031298
ILI incidence,CH,2026-02-25,2026-02-22,0.85,1,quantile,141.551357194486
ILI incidence,CH,2026-02-25,2026-02-22,0.9,1,quantile,151.064825767697
ILI incidence,CH,2026-02-25,2026-02-22,0.95,1,quantile,165.73744946808
ILI incidence,CH,2026-02-25,2026-02-22,0.975,1,quantile,177.988479399474
ILI incidence,CH,2026-02-25,2026-02-22,0.99,1,quantile,196.563046296712
ILI incidence,CH,2026-02-25,2026-03-01,0.01,2,quantile,39.6200766402707
ILI incidence,CH,2026-02-25,2026-03-01,0.025,2,quantile,46.7372168068089
ILI incidence,CH,2026-02-25,2026-03-01,0.05,2,quantile,52.1552070382373
ILI incidence,CH,2026-02-25,2026-03-01,0.1,2,quantile,60.006009835285
ILI incidence,CH,2026-02-25,2026-03-01,0.15,2,quantile,66.4776396114969
ILI incidence,CH,2026-02-25,2026-03-01,0.2,2,quantile,70.6317290255331
ILI incidence,CH,2026-02-25,2026-03-01,0.25,2,quantile,75.2467783218317
ILI incidence,CH,2026-02-25,2026-03-01,0.3,2,quantile,79.6155783025255
ILI incidence,CH,2026-02-25,2026-03-01,0.35,2,quantile,83.5823319935021
ILI incidence,CH,2026-02-25,2026-03-01,0.4,2,quantile,87.3361355871256
ILI incidence,CH,2026-02-25,2026-03-01,0.45,2,quantile,91.4885857935462
ILI incidence,CH,2026-02-25,2026-03-01,0.5,2,quantile,96.5282468051234
ILI incidence,CH,2026-02-25,2026-03-01,0.55,2,quantile,101.599949363488
ILI incidence,CH,2026-02-25,2026-03-01,0.6,2,quantile,107.442588201843
ILI incidence,CH,2026-02-25,2026-03-01,0.65,2,quantile,112.207104556437
ILI incidence,CH,2026-02-25,2026-03-01,0.7,2,quantile,118.02232304003
ILI incidence,CH,2026-02-25,2026-03-01,0.75,2,quantile,124.788003348286
ILI incidence,CH,2026-02-25,2026-03-01,0.8,2,quantile,132.609810013391
ILI incidence,CH,2026-02-25,2026-03-01,0.85,2,quantile,140.335727156959
ILI incidence,CH,2026-02-25,2026-03-01,0.9,2,quantile,155.478834919864
ILI incidence,CH,2026-02-25,2026-03-01,0.95,2,quantile,168.78211043233
ILI incidence,CH,2026-02-25,2026-03-01,0.975,2,quantile,185.71316563923
ILI incidence,CH,2026-02-25,2026-03-01,0.99,2,quantile,211.534882855615
ILI incidence,CH,2026-02-25,2026-03-08,0.01,3,quantile,30.8192039402189
ILI incidence,CH,2026-02-25,2026-03-08,0.025,3,quantile,36.1117546434674
ILI incidence,CH,2026-02-25,2026-03-08,0.05,3,quantile,41.7132641271766
ILI incidence,CH,2026-02-25,2026-03-08,0.1,3,quantile,49.2322209593122
ILI incidence,CH,2026-02-25,2026-03-08,0.15,3,quantile,55.3617831973833
ILI incidence,CH,2026-02-25,2026-03-08,0.2,3,quantile,60.6025519041597
ILI incidence,CH,2026-02-25,2026-03-08,0.25,3,quantile,65.4325110229674
ILI incidence,CH,2026-02-25,2026-03-08,0.3,3,quantile,70.6428766162539
ILI incidence,CH,2026-02-25,2026-03-08,0.35,3,quantile,75.4639311807912
ILI incidence,CH,2026-02-25,2026-03-08,0.4,3,quantile,79.7212151147318
ILI incidence,CH,2026-02-25,2026-03-08,0.45,3,quantile,84.3170798086275
ILI incidence,CH,2026-02-25,2026-03-08,0.5,3,quantile,88.0140392036705
ILI incidence,CH,2026-02-25,2026-03-08,0.55,3,quantile,92.7371216757664
ILI incidence,CH,2026-02-25,2026-03-08,0.6,3,quantile,97.9379686173456
ILI incidence,CH,2026-02-25,2026-03-08,0.65,3,quantile,104.670716144161
ILI incidence,CH,2026-02-25,2026-03-08,0.7,3,quantile,111.373980099521
ILI incidence,CH,2026-02-25,2026-03-08,0.75,3,quantile,117.976771883182
ILI incidence,CH,2026-02-25,2026-03-08,0.8,3,quantile,127.671650099785
ILI incidence,CH,2026-02-25,2026-03-08,0.85,3,quantile,139.973633715941
ILI incidence,CH,2026-02-25,2026-03-08,0.9,3,quantile,151.160148243038
ILI incidence,CH,2026-02-25,2026-03-08,0.95,3,quantile,170.995003649693
ILI incidence,CH,2026-02-25,2026-03-08,0.975,3,quantile,188.206444182359
ILI incidence,CH,2026-02-25,2026-03-08,0.99,3,quantile,212.719012093322
ILI incidence,CH,2026-02-25,2026-03-15,0.01,4,quantile,24.8925264579818
ILI incidence,CH,2026-02-25,2026-03-15,0.025,4,quantile,29.824359449486
ILI incidence,CH,2026-02-25,2026-03-15,0.05,4,quantile,33.3953887201983
ILI incidence,CH,2026-02-25,2026-03-15,0.1,4,quantile,40.8185710956533
ILI incidence,CH,2026-02-25,2026-03-15,0.15,4,quantile,47.0629750513466
ILI incidence,CH,2026-02-25,2026-03-15,0.2,4,quantile,51.8678596809309
ILI incidence,CH,2026-02-25,2026-03-15,0.25,4,quantile,57.5727594420494
ILI incidence,CH,2026-02-25,2026-03-15,0.3,4,quantile,61.1651900947104
ILI incidence,CH,2026-02-25,2026-03-15,0.35,4,quantile,65.9714442917274
ILI incidence,CH,2026-02-25,2026-03-15,0.4,4,quantile,71.0205624742373
ILI incidence,CH,2026-02-25,2026-03-15,0.45,4,quantile,76.005952947668
ILI incidence,CH,2026-02-25,2026-03-15,0.5,4,quantile,80.9345494131733
ILI incidence,CH,2026-02-25,2026-03-15,0.55,4,quantile,86.7265210303512
ILI incidence,CH,2026-02-25,2026-03-15,0.6,4,quantile,92.0693784339758
ILI incidence,CH,2026-02-25,2026-03-15,0.65,4,quantile,97.8483808122298
ILI incidence,CH,2026-02-25,2026-03-15,0.7,4,quantile,105.521951841487
ILI incidence,CH,2026-02-25,2026-03-15,0.75,4,quantile,113.302527953522
ILI incidence,CH,2026-02-25,2026-03-15,0.8,4,quantile,121.529392639682
ILI incidence,CH,2026-02-25,2026-03-15,0.85,4,quantile,130.93349099857
ILI incidence,CH,2026-02-25,2026-03-15,0.9,4,quantile,148.225760453034
ILI incidence,CH,2026-02-25,2026-03-15,0.95,4,quantile,173.369536575631
ILI incidence,CH,2026-02-25,2026-03-15,0.975,4,quantile,193.29582149703
ILI incidence,CH,2026-02-25,2026-03-15,0.99,4,quantile,216.562482892555
ILI incidence,CH,2026-02-25,2026-02-22,,1,median,106.736820422832
ILI incidence,CH,2026-02-25,2026-03-01,,2,median,96.5282468051234
ILI incidence,CH,2026-02-25,2026-03-08,,3,median,88.0140392036705
ILI incidence,CH,2026-02-25,2026-03-15,,4,median,80.9345494131733
ILI incidence,CZ,2026-02-25,2026-02-22,0.01,1,quantile,25.8016521469004
ILI incidence,CZ,2026-02-25,2026-02-22,0.025,1,quantile,27.9374029420987
ILI incidence,CZ,2026-02-25,2026-02-22,0.05,1,quantile,29.8894013712756
ILI incidence,CZ,2026-02-25,2026-02-22,0.1,1,quantile,32.1621770044291
ILI incidence,CZ,2026-02-25,2026-02-22,0.15,1,quantile,33.9981172846397
ILI incidence,CZ,2026-02-25,2026-02-22,0.2,1,quantile,35.3275932653461
ILI incidence,CZ,2026-02-25,2026-02-22,0.25,1,quantile,36.350317031881
ILI incidence,CZ,2026-02-25,2026-02-22,0.3,1,quantile,37.3851703184964
ILI incidence,CZ,2026-02-25,2026-02-22,0.35,1,quantile,38.534130825026
ILI incidence,CZ,2026-02-25,2026-02-22,0.4,1,quantile,39.6350235223197
ILI incidence,CZ,2026-02-25,2026-02-22,0.45,1,quantile,40.7375556458852
ILI incidence,CZ,2026-02-25,2026-02-22,0.5,1,quantile,41.8727011658376
ILI incidence,CZ,2026-02-25,2026-02-22,0.55,1,quantile,42.9426556178811
ILI incidence,CZ,2026-02-25,2026-02-22,0.6,1,quantile,44.093731189126
ILI incidence,CZ,2026-02-25,2026-02-22,0.65,1,quantile,45.3321517243824
ILI incidence,CZ,2026-02-25,2026-02-22,0.7,1,quantile,46.7416768786823
ILI incidence,CZ,2026-02-25,2026-02-22,0.75,1,quantile,48.2859724892494
ILI incidence,CZ,2026-02-25,2026-02-22,0.8,1,quantile,50.4629872198017
ILI incidence,CZ,2026-02-25,2026-02-22,0.85,1,quantile,52.6649524755119
ILI incidence,CZ,2026-02-25,2026-02-22,0.9,1,quantile,56.037325684351
ILI incidence,CZ,2026-02-25,2026-02-22,0.95,1,quantile,59.9174905247282
ILI incidence,CZ,2026-02-25,2026-02-22,0.975,1,quantile,65.4311356606042
ILI incidence,CZ,2026-02-25,2026-02-22,0.99,1,quantile,71.5819832624351
ILI incidence,CZ,2026-02-25,2026-03-01,0.01,2,quantile,19.7164530779131
ILI incidence,CZ,2026-02-25,2026-03-01,0.025,2,quantile,21.4730944397961
ILI incidence,CZ,2026-02-25,2026-03-01,0.05,2,quantile,23.7092491032118
ILI incidence,CZ,2026-02-25,2026-03-01,0.1,2,quantile,27.0273727503529
ILI incidence,CZ,2026-02-25,2026-03-01,0.15,2,quantile,28.83383217421
ILI incidence,CZ,2026-02-25,2026-03-01,0.2,2,quantile,31.3749832042639
ILI incidence,CZ,2026-02-25,2026-03-01,0.25,2,quantile,33.0669680804106
ILI incidence,CZ,2026-02-25,2026-03-01,0.3,2,quantile,34.7135299991325
ILI incidence,CZ,2026-02-25,2026-03-01,0.35,2,quantile,36.1853664385399
ILI incidence,CZ,2026-02-25,2026-03-01,0.4,2,quantile,37.5373592237303
ILI incidence,CZ,2026-02-25,2026-03-01,0.45,2,quantile,39.0881754731027
ILI incidence,CZ,2026-02-25,2026-03-01,0.5,2,quantile,40.5842344858205
ILI incidence,CZ,2026-02-25,2026-03-01,0.55,2,quantile,42.7253319731276
ILI incidence,CZ,2026-02-25,2026-03-01,0.6,2,quantile,45.0501552153225
ILI incidence,CZ,2026-02-25,2026-03-01,0.65,2,quantile,47.1396948637294
ILI incidence,CZ,2026-02-25,2026-03-01,0.7,2,quantile,49.5287751988397
ILI incidence,CZ,2026-02-25,2026-03-01,0.75,2,quantile,51.7075668637611
ILI incidence,CZ,2026-02-25,2026-03-01,0.8,2,quantile,54.7107936290329
ILI incidence,CZ,2026-02-25,2026-03-01,0.85,2,quantile,58.0194817217589
ILI incidence,CZ,2026-02-25,2026-03-01,0.9,2,quantile,62.040230944032
ILI incidence,CZ,2026-02-25,2026-03-01,0.95,2,quantile,69.3868963854293
ILI incidence,CZ,2026-02-25,2026-03-01,0.975,2,quantile,76.6063564556567
ILI incidence,CZ,2026-02-25,2026-03-01,0.99,2,quantile,88.6148777582054
ILI incidence,CZ,2026-02-25,2026-03-08,0.01,3,quantile,14.5362112313056
